sportsplayed, facilitycondition, postcode, objectid, suburbtown, facilityage
"Cricket","3. Average",3116,9243,"CHIRNSIDE PARK","26 - 50 Years"
"Cricket","4. Good",3140,9244,"LILYDALE","26 - 50 Years"
"Cricket","2. Poor",3159,9245,"MENZIES CREEK","26 - 50 Years"
"Cricket","3. Average",3799,9246,"MILLGROVE","26 - 50 Years"
"Cricket","3. Average",3793,9247,"MONBULK","26 - 50 Years"
"Cricket","5. Very Good",3765,9248,"MONTROSE","26 - 50 Years"
"Cricket",null,3138,9249,"MOOROOLBARK","26 - 50 Years"
"Fitness / Gymnasium Workouts",null,3138,9286,"MOOROOLBARK",null
"Cricket","3. Average",3796,9250,"MOUNT EVELYN","26 - 50 Years"
"Cricket","3. Average",3796,9251,"MOUNT EVELYN","26 - 50 Years"
"Cricket","3. Average",3804,9253,"NARRE WARREN EAST","26 - 50 Years"
"Cricket","2. Poor",3788,9254,"OLINDA","26 - 50 Years"
"Cricket","3. Average",3137,9255,"KILSYTH","26 - 50 Years"
"Cricket","3. Average",3797,9256,"POWELLTOWN","26 - 50 Years"
"Cricket","3. Average",3777,9257,"HEALESVILLE","26 - 50 Years"
"Cricket","3. Average",3139,9258,"SEVILLE","26 - 50 Years"
"Cricket","2. Poor",3139,9259,"YELLINGBO","26 - 50 Years"
"Cricket","4. Good",3795,9260,"SILVAN","26 - 50 Years"
"Cricket","2. Poor",3158,9261,"UPWEY","26 - 50 Years"
"Cricket","4. Good",3139,9262,"WANDIN EAST","0 - 5 Years"
"Cricket","3. Average",3139,9263,"WANDIN NORTH","26 - 50 Years"
"Cricket","4. Good",3799,9264,"WARBURTON","26 - 50 Years"
"Cricket","3. Average",3799,9265,"WESBURN","26 - 50 Years"
"Cricket","3. Average",3139,9266,"LAUCHING PLACE","26 - 50 Years"
"Cricket","4. Good",3139,9267,"WOORI YALLOCK","26 - 50 Years"
"Cricket","3. Average",3775,9268,"YARRA GLEN","26 - 50 Years"
"Cricket","4. Good",3797,9269,"YARRA JUNCTION","26 - 50 Years"
"Cycling",null,null,9270,null,null
"Equestrian",null,3139,9271,"SEVILLE",null
"Equestrian",null,3777,9272,"HEALESVILLE",null
"Equestrian",null,3765,9273,"MONTROSE",null
"Equestrian",null,3796,9274,"MOUNT EVELYN",null
"Equestrian",null,3160,9275,"BELGRAVE SOUTH",null
"Equestrian",null,3782,9276,"MACCLESFIELD",null
"Equestrian",null,3793,9277,"MONBULK",null
"Equestrian","3. Average",3799,9278,"WESBURN","11 - 25 Years"
"Equestrian",null,3770,9279,"YERING",null
"Equestrian",null,3775,9280,"YARRA GLEN",null
"Fitness / Gymnasium Workouts",null,3140,9281,"LILYDALE",null
"Fitness / Gymnasium Workouts",null,3137,9282,"KILSYTH",null
"Fitness / Gymnasium Workouts",null,3116,9283,"CHIRNSIDE PARK",null
"Fitness / Gymnasium Workouts",null,3116,9284,"CHIRNSIDE PARK",null
"Fitness / Gymnasium Workouts",null,3796,9285,"MOUNT EVELYN",null
"Fitness / Gymnasium Workouts",null,3140,9287,"LILYDALE",null
"Fitness / Gymnasium Workouts",null,3140,9288,"LILYDALE",null
"Fitness / Gymnasium Workouts",null,3158,9290,"UPWEY",null
"Fitness / Gymnasium Workouts",null,3137,9291,"KILSYTH",null
